NUMBER,ITEM,RETAIL PRICE,ORDER QTY.,COST,TOTAL
1,STT W160SB8GSL 8GB SODIMM,79,5,48,$240.00 
2,STT W160SA4GSL 4GB SODIMM,39,5,24,$120.00 
3,KINGSTON HX316C10FK2/8,79,2,51,$102.00 
4,STT W1600UB4GS 4GB DDR3 1600MHZ,49,4,30,$120.00 
5,KINGSTON HX316C10FK2/16 16GB,149,4,90,$360.00 
6,SAMSUNG 850 EVO 120GB SSD,119,2,64,$128.00 
7,SAMSUNG 850 EVO 250GB SSD,179,2,96,$192.00 
8,SAMSUNG 850 PRO 256GB SSD,239,2,133,$266.00 
9,SAMSUNG 850 PRO 512GB SSD,439,3,227,$681.00 
10,INTEL I7-4790K BOX,389,2,325,$650.00 
11,INTEL I5-4690KBX LGA1150,279,2,226,$452.00 
12,LITE-ON 24X SATA DVDRW,39,5,18.75,$93.75 
13,SAMSUNG SLIM USB BLURAY WRITER,139,3,73,$219.00 
14,SAMSUNG SLIM USB DVD SE-208GB,39,5,23.5,$117.50 
15,SEAGATE 1TB SATA3 64MB 7200RPM,79,5,43.75,$218.75 
16,WD WD5000LPLX 500G/7200 S3 32MB,89,5,52.5,$262.50 
17,ASUS Z97KCSM,169,2,115,$230.00 
18,MICROSOFT WIN 7 PRO 64BIT,189,2,135,$270.00 
19,WINDOWS 10 HOME 64BIT,129,5,95,$475.00 
20,WINDOWS 10 PRO 64BIT,159,5,135,$675.00 
21,OFFICE HOME AND STUDENT 2013,149,2,116,$232.00 
22,OFFICE HOME AND BUSINESS 2013,219,2,178,$356.00 
23,EVGA GTX980TI 6GB GDDR5,749,1,635,$635.00 
24,EVGA GTX960 4GB SC PCIE,289,2,238,$476.00 
25,EVGA GTX750TI SC 2GB DDR5,209,2,135,$270.00 
26,TPLINK TLSG1005D 5PORT GIGABIT SWITCH,29,10,17.5,$175.00 
27,TPLINK TLSG1008D 8PORT GIGABIT SWITCH,39,10,22,$220.00 
28,TRENDNET 4 PORT USB KVM,69,3,41.5,$124.50 
29,ASUS VS228HP 21.5 LED WIDE LCD,199,2,125,$250.00 
30,ASUS VS247HP 23.6 WD LED HDMI,249,2,152,$304.00 
31,VANTEC 216S3BK 2.5IN SATA USB3.0,25,10,12,$120.00 
32,THERMALTAKE VERSA H21,59,2,33,$66.00 
33,COOLERMASTER HAF912 ATX BK,89,3,50,$150.00 
34,ANTEC EARTHWATTS 650W PSU,119,6,68,$408.00 
35,ANTEC EARTHWATTS 750W PLATINUM,159,3,102,$306.00 
36,ANTEC HIGH CURRENT PLATINUM 1000W,269,1,196,$196.00 
